MASTER_CLIENT_CODE,RO_NO,RO_NO_CLIENT_CODE,MASTER_CLIENT_NAME,ATTACHMENT1,ATTACHMENT2
8160,13136/12/0010/2324,13136,"G B PANT INST OF HIMALAYAN ENV & DEV, ALMORA",DNA1202300013591_20230911184549.pdf,
IN1190,19112/11/0113/2324,19112,"INDO TIBETAN BORDER POLICE 51ST BN,PUNJAB",DNA1202300017722_20231120181142.pdf,
AR1128,10146/11/0003/2324,10146,"ARMED FORCES TRIBUNAL CELL,NEW DELHI",DNA1202300014333_20230922190851.pdf,
MO1282,10622/13/0069/2324,10622,"MOD CHEQUE,LUCKNOW",DNA1202400000919_20240113182423.pdf,
32133,10110/13/0001/2324,10110,"MINISTRY OF DEFENCE DG NCC,[NEW DELHI]",DNA1202400001770_20240124203353.pdf,
AG439,01377/12/0004/2324,01377,AGRINNOVATE INDIA LIMITED,DNA1202400001027_20240115202230.pdf,
157635,22103/11/0006/2425,22103,"INDIAN INSTITUTE OF MASS COMMUNICATION ,NEW DELHI",DNA1202400012343_20240802150345.pdf,
NA2794,27102/11/0001/2425,27102,"NATIONAL COMMISSION FOR MINORITIES,NEW DELHI",DNA1202400014178_20240905171007.pdf,
171199,38118/11/0007/2425,38118,"NATIONAL INSTT. FOR EMPOWERMENT OF PERSONS WITH INTELLECTUAL  DISABILITIES ,Chennai",DNA1202400014044_20240903155252.pdf,
ES75,23154/12/0002/2425,23154,"ESIC HOSPITAL SOROJINI NAGAR,LUCKNOW",DNA1202400017019_20241024185259.pdf,
CE280,3622/12/0001/2425,3622,CENTRAL SALT & MARINE CHEMICAL RES. INST BHAVNAGAR,DNA1202400019106_20241203181101.pdf,
IN11,21255/12/0013/2425,21255,INDIAN INSTITUTE OF TECHNOLOGY KHARAGPUR,DNA1202500000095_20250102185323.pdf,
DR3478,45128/11/0001/2425,45128,DR.SYAMA PRASA MUKERJEE INST OF MEDICAL SCIENCE,DNA1202500003812_20250305151925.pdf,
93314,57103/15/0018/2425,57103,"SPORTS AUTHORITY OF INDIA,[UDHAMPUR]",DNA1202500004398_20250315201724.pdf,
NA2648,49112/11/0002/2526,49112,"NATIONAL REMOTE SENSING AGENCY,HYDERABAD",DNA1202500007482_20250509154704.pdf,
NA2955,39122/11/0002/2526,39122,"NATIONAL STATISTICAL OFFICE,LUCKNOW",DNA1202500011629_20250710192620.pdf,
16840,11101/13/0002/2526,11101,"MINISTRY OF DEV OF NORTH EASTERN REGION, NEW DELHI",DNA1202500008095_20250520212046.pdf,
RE675,21209/12/0001/2526,21209,"REGIONAL INSTITUTE OF EDUCATION,NCERT,AJMER",DNA1202500008929_20250603172800.pdf,
DI512,23102/12/0001/2526,23102,DIRECTORATE GENERAL OF MINES SAFETY,DNA1202500013352_20250807144919.pdf,
222505,47107/11/0010/2526,47107,"DEPTT. OF YOUTH AFFAIRS ,HAMIRPUR",DNA1202500015343_20250908173203.pdf,
SH7214,21371/12/0007/2526,21371,SHRI LAL BAHADUR SHASTRI NATIONAL SANSKRTI UNIVERS,DNA1202500016476_20250919222634.pdf,
MA692,21336/12/0001/2526,21336,MAHATMA GANDHI CENTRAL UNIVERSITY BIHAR,DNA1202500012906_20250731185825.pdf,
172456,49121/12/0006/2526,49121,"INDIAN SPACE RESEARCH ORGANISATION,AHMEDABAD ,AHMEDABAD",DNA1202500017608_20251003181557.pdf,
PA2466,17178/12/0004/2526,17178,"PASTEUR INSTITUTE OF INDIA COORNOOR,NILGIRIS",DNA1202500020915_20251122162504.pdf,
16759,22103/11/0008/2526,22103,"INDIAN INST OF MASS COMMUNICATION, NEW DELHI",DNA1202500022219_20251212180114.pdf,
C-4,06165/12/0006/2526,06165,C-DAC THIRUVANATHAPURAM,DNA1202500018962_20251023162022.pdf,
IN1387,19149/13/0002/2526,19149,"INDIAN CYBER CRIME COORDINATION CENTER,NEW DELHI",DNA1202500019711_20251103204405.pdf,
27658,10102/11/0680/1819,10102,"MILITARY ENGINEERING SERVICES COMM. WORKS ENGR[PROJECTS],[DELHI CANTT]",,
27924,08101/11/0010/1819,08101,"CONSUMER AFFAIRS & PUBLIC DISTRIBUTION, [DODA ]",,
28291,10102/11/0779/1819,10102,"MILITARY ENGINEER SERVICES, [LUCKNOW]",,
56512,19111/11/0573/1819,19111,"CENTRAL RESERVE POLICE FORCE,[ALLAHABAD]",,
161916,24101/13/0006/1819,24101,"DEPT OF LAW JUSTICE AND LEGISLATIVE AFFAIR ,NEW DELHI",,
RE35,22204/11/0013/1819,22204,"REGIONAL OUTREACH BUREAU,38,TILAK ROAD,DEHRADUN",,
16883,21334/11/0005/1819,21334,"NATIONAL COUNCIL FOR TEACHER EDUCATION, NEW DELHI",,
19072,19110/11/0079/1819,19110,BORDER SECURITY FORCE JAMMU,,
10347,23167/11/0006/1819,23167,"ESIC MODEL HOSPITAL, JAMMU",,
DE211,10301/11/0179/1819,10301,"DEFENCE RESEARCH & DEVELOPMENT,HALDWANI",,
86888,19111/11/0580/1819,19111,"CENTRAL RESERVE POLICE FORCE,[JAMMU]",,
IN99,10201/11/0048/1819,10201,"INDIAN ORDNANCE,ARUVANKADU,THE NILGIRIS",,
16117,21252/11/0006/1819,21252,"MINISTRY OF HUMAN RESOURCE & DEV, NEW DELHI",,
116007,35101/13/0026/1819,35101,"RURAL DEVELOPMENT AUTHORITY,[NEW DELHI]",,
92186,01143/13/0008/1819,01143,NATIONAL CENTRE OF ORGANIC FARMING [GHAZIABAD],,
137954,06124/13/0011/1819,06124,"DEPTT. OF ELECTRONICS & INFORMATION TECHNOLOGY., [NEW DELHI]",,
16542,19141/13/0005/1819,19141,"CISF-CENTRAL INDUSTRIAL SECURITY FORCE, NEW DELHI",,
52534,24203/11/0001/1920,24203,"INDIAN LAW INSTITUTE,[NEW DELHI]",,
124368,19112/11/0108/1920,19112,"47TH BATALLION, ITBP,[JAMMU]",,DNA1201900008285 18DAVP108.pdf
31867,10602/11/0011/1920,10602,MUKHYALAYA MADHYA KAMAN HEADQUARTERS CENTRAL COMMAND PIN-900540 56 APO,,DNA1201900008863.pdf
57275,17175/11/0001/1920,17175,"INDIAN PHARMACOPOEIA COMMISSION, [GHAZIABAD]",,DNA1201900009789.pdf
16930,47102/11/0005/1920,47102,"NEHRU YUVA KENDRA SANGATHAN, NEW DELHI",,DNA1201900012482.pdf
SA1385,19144/11/0004/1920,19144,SASHASTRA SEEMA BAL DIDIHAT,,DNA1201900018510.pdf
81275,25101/13/0025/1920,25101,"MINISTRY OF MSME-NIESBUD,[NEW DELHI]",,DNA1202000003553.pdf
18645,25113/11/0261/1920,25113,"MSME DEVELOPMENT INSTITUTE, HALDWANI",,DNA1202000004527.pdf
NA939,21221/11/0001/2021,21221,NATIONAL COUNCIL OF TECHNICAL EDUCATION NEW DELHI,DNA1202000008235_20200819174903.pdf,
23793,10201/11/0012/2021,10201,"ORDNANCE FACTORY, [KANPUR]",KNP davp_release_order_20200928180520.pdf,
106157,10602/11/0001/2122,10602,"DG, SUPPLIES & TRANSPORT,[C/O 56 APO]","HISdavp01_release_order_20210409195822.pdf,OLD RO 001davp_release_order_20210413151137.pdf",
MI259,41113/11/0001/2122,41113,MINISTRY OF TEXTIME NEW DELHI,DNA1202100007945_20210816152716.pdf,
SE234,21231/11/0006/2122,21231,SECTION OFFICER,DNA1202100011796_20211112170633.pdf,
15840,17101/11/0007/2122,17101,"DIRECTORATE OF HEALTH & FAMILY WELFARE, NEW DELHI",DNA1202100011826_20211112192551.pdf,
PR3060,02105/12/0001/2122,02105,PROJECTS AND DEVELOPMENT INDIA LIMITED,DNA1202200003432_20220316163754.pdf,
116030,10202/11/0005/2223,10202,"DG, ORDNANCE SERVICES,[56 APO]",DNA1202200006000_20220505153034.pdf,
18267,21103/12/0007/2223,21103,"NATIONAL TRUST, DELHI",DNA1202200007488_20220603174245.pdf,
GE211,26112/12/0001/2223,26112,"GEOLOGICAL SURVEY OF INDIA,WESTERN REGION,JAIPUR",DNA1202200011922_20220906180954.pdf,
NA2524,21315/12/0004/2324,21315,NATIONAL ACCREDITATION BOARD FOR CERTIFICATION BRD,DNA1202300016840_20231103154139.pdf,
229107,01328/12/0004/2324,01328,"ICAR-CENTRAL RESEARCH INSTITUTE FOR JUTE & ALLIED FIBERS ,KOLKATA",DNA1202400002586_20240205181922.pdf,
DE2105,10301/11/0138/2324,10301,"DEPTT. OF DEFENCE RESEARCH & DEVELOPMENT/DRDO, MOD",DNA1202300019326_20231215154314.pdf,
IR17,48139/12/0004/2425,48139,IREAL INDIA LTD,DNA1202400009885_20240612203530.pdf,
143508,37112/12/0005/2425,37112,"NATIONAL HIGHWAYS & INFRASTRUCTURE DEVELOPMENT CORPN LTD., [NEW DELHI]",DNA1202400012764_20240809173608.pdf,
121396,15229/12/0001/2424,15229,"NATIONAL AGRICULTURE INSURANCE SCHEME,[NEW DELHI]",,
NO125,17119/11/0007/2425,17119,NORTH EASTERN INDIRA GANDHI REGIONAL INSTITUTE,DNA1202400015003_20240920161224.pdf,
IN1281,13134/12/0002/2425,13134,"INTEGRATED REGIONAL OFFICE MOEF&CC CHENNAI,NUNGAMB",DNA1202400016243_20241011142343.pdf,
NA2880,17220/11/0002/2425,17220,"NATIONAL AID RESEARCH INSTITUTE,JAMMU",DNA1202400020115_20241220161253.pdf,
CE330,38126/11/0004/2425,38126,CENTRE FOR DISABILLTY SPORTS GWAILER,DNA1202500004760_20250321193349.pdf,
NI979,06145/12/0007/2425,06145,"NIELIT,KURUKSHETRA",DNA1202500000835_20250114175928.pdf,
192867,06224/12/0001/2526,06224,"TELECOM ENFORCEMENT, RESOURCES & MONITORING CELL, ,DEHRADUN",DNA1202500006817_20250426172744.pdf,
122982,17132/11/0008/2526,17132,"MINISTRY OF HEALTH & FAMILY WELFARE,[KASAULI]",DNA1202500012125_20250718154216.pdf,
DE2397,35201/11/0004/2526,35201,DEPARTMENT OF LAND RESOURCES- NEW DELHI,DNA1202500013309_20250806184331.pdf,
NA1734,17222/12/0002/2526,17222,NATIONAL MEDICAL COMMISSION NEW DELHI,DNA1202500015337_20250908172246.pdf,
226720,15415/13/0009/1819,15415,"D/O FINANCIAL SERVICES ,NEW DELHI",,
137836,17206/11/0009/1819,17206,"CENTRAL COUNCIL OF HOMOEOPATHY, [NEW DELHI]",,
177358,36101/11/0012/1819,36101,"DEPTT. OF SCIENCE & TECHNOLOGY, ,NATIONAL ATLAS & THEMATIC,",,
51086,10102/11/0769/1819,10102,"MES, [LANSDOWN]",,
91660,10102/11/0784/1819,10102,"MILITARY ENGINEERING SERVICE CHIEF ENG.,LUCKNOW ZONE,[56 APO]",,
70445,19112/11/0407/1819,19112,"INDO TIBETAN BORDER POLICE 5 BN,[56 APO]",,
15825,36201/13/0009/1819,36201,"DEPT OF SCIENTIFIC & INDUST RES, NEW DELHI",,
16534,10301/11/0023/1920,10301,"CENTRE FOR FIRE EXPLOSIVE & ENV SAFYTY, NEW DELHI",,DNA1201900009089.pdf
127039,19112/11/0257/1920,19112,"INDO TIBETAN BORDER POLICE, DIST. KATIHAR, [BIHAR]",,DNA1201900012908.pdf
175117,13101/11/0022/1920,13101,"MINISTRY OF ENVIRONMENT EVAM FOREST ,KENDRIYA BHAWAN ALIGANJ",,DNA1201900018840.pdf
121166,19112/11/0425/1920,19112,"INDO TIBETAN BORDER POLICE KAMRUP,[GUWAHTI]",,DNA1202000000953.pdf
171143,45114/11/0001/2021,45114,"NATIONAL WATER DOVELOPMENT AGENCY, ,[JHANSI]",DNA1202000005656_20200526190101.pdf,
DE776,01201/11/0003/2021,01201,"DEPT.OF ANIMAL HUSBANDRY AND DAIRYING,NEW DELHI",DNA1202000007667_20200731144053.pdf,
27972,19112/11/0071/2021,19112,"COMMANDANT 23 BN ITBP PO SEEMADWAR, [DEHRADUN]",DNA1202000008665_20200831173310.pdf,
117471,19112/11/0095/2021,19112,"INDO TIBETAN BORDER POLICE,[APO 99]",DNA1202000009366_20200918190930.pdf,
MS137,25113/11/0067/2021,25113,"MSME DEVELOPMENT INSTITUTE,KARNAL",KRNLdavp67_release_order_20210215183536.pdf,
MI268,13101/11/0003/2122,13101,MINISTRY OF ENVIRMENT FOREST AND CLIMATE CHANGE,03__CHD__davp_20210413190851.pdf,
193475,06116/11/0001/2122,06116,"STQC DIRECTORATE ELECTRONICS TEST AND DEV. CENTER SOLAN ,SOLAN",DNA1202100005513_20210611161104.pdf,
72255,10202/11/0009/2122,10202,"DG ORDNANCE SERVICES 1 FIELD ORDNANCE DEPOT,[56 APO]",DNA1202100010007_20211005152228.pdf,
188806,23145/11/0002/2122,23145,"ESIC  ,CHANDIGARH",DNA1202100013227_20211210180338.pdf,
16988,17147/11/0010/2122,17147,"RAM MANOHAR LOHIA HOSPITAL, NEW DELHI",DNA1202100013794_20211221182920.pdf,
NI577,54101/11/0010/2122,54101,"NITI AAYOG,NATIONAL INST.FOR TRANSFORMING INDIA",DNA1202200002352_20220222195811.pdf,
MO923,10622/11/0012/2223,10622,MOD-CHEQUE SELECTION CENTRE EAST ALLAHABAD,DNA1202200005036_20220415144114.pdf,
CI198,36212/12/0001/2223,36212,CISR-CENTRAL SALT&MARINE CHEMICALS RESEARCH.INSTT.,DNA1202200006149_20220509183507.pdf,
120589,06141/12/0013/2223,06141,"NATIONAL INSTITUTE OF ELECTRONICS & INFORMATION TECHNOLOGY,[CHANDIGARH]",DNA1202200010042_20220726184143.pdf,
IN925,36127/12/0001/2223,36127,INDIAN INSTT. OF GEOMAGNETISM,DNA1202200010907_20220812212934.pdf,
229101,37112/12/0004/2223,37112,"NATIONAL HIGHWAY & INFRASTRUCTURE DEVELOPMET CORPRATION LTD , ,DEHRADUN",DNA1202200012305_20220914164445.pdf,
IN949,19112/11/0092/2223,19112,INDO TIBETAN BORDER POLICE 45TH BN,DNA1202200012595_20220920160636.pdf,
IN692,36304/12/0013/2223,36304,INST FOR STEM CELL SCIENCE & REGENERATION MEDICINE,DNA1202200013239_20220929184555.pdf,
BO43,19110/11/0134/2223,19110,"BORDER SECURITY FORCE 178 BSF PO-BAAD,MATHURA",DNA1202300002219_20230214155738.pdf,
118859,32205/11/0003/2324,32205,"CENTRAL BUREAU OF INVESTIGATION, SPECIAL CRIME-1,[NEW DELHI]",DNA1202300008311_20230609191407.pdf,
18288,07104/11/0032/2324,07104,"OFFICE OF THE LIQUIDATOR, HIGH COURT, NEW DELHI",DNA1202300018249_20231129190110.pdf,
NA2238,66102/12/0005/2324,66102,NATIONAL COOPERATIVE DEVELOPMENT CORPORATION,DNA1202300018399_20231201162552.pdf,
16838,08201/11/0008/2324,08201,"MINISTRY OF CONSUMER AFFAIRS, NEW DELHI",DNA1202400003187_20240212200721.pdf,
NA2758,15229/12/0001/2424,15229,NATIONAL LAND MONETIZATION CORPORATION LIMITED,DNA1202400011727_20240722150303.pdf,
166395,58102/11/0004/2425,58102,"NATIONAL TECHNICAL RESEARCH ORGANISATION ,NEW DELHI",DNA1202400014264_20240906181454.pdf,
17000,09114/12/0014/2425,09114,"SANGEET NATAK AKADEMI, NEW DELHI",DNA1202500001218_20250121171944.pdf,
HQ13,10631/11/0001/2526,10631,"HQ ARMY TRAINING COMMAND,SHIMLA",DNA1202500012124_20250718153741.pdf,
32064,21213/12/0001/2526,21213,"INDIAN INSTITUTE OF ADVANCED  STUDY,SHIMLA[SHIMLA]",DNA1202500010245_20250618190106.pdf,
12858,27104/12/0006/2526,27104,"NATIONAL MINORITIES DEVELOPMENT & FINANC, LUCKNOW",DNA1202500014074_20250819171956.pdf,
NA3045,35104/11/0002/2526,35104,"NATIONAL RURAL ROADS DEV.AGENCY,NEW DELHI",DNA1202500015302_20250906193805.pdf,
NC35,17222/12/0001/2526,17222,"NCISM,NEW DELHI",DNA1202500014353_20250822184751.pdf,
CS52,36210/11/0004/2526,36210,"CSIR-NISCAIR VIGYAN SANCHAR MARG,NEW DELHI",DNA1202500014598_20250827170215.pdf,
SP335,49109/11/0002/2526,49109,SPACE CENTRE-SDSC-SRIHARIKOTA,DNA1202500018398_20251015163038.pdf,
149216,10702/11/0078/1819,10702,"NATIONAL HYDROGRAPHIC OFFICE ,,[DEHRADUN",,
41125,10102/11/0722/1819,10102,"MILITARY ENGINEERING SERVICE GARRISON ENGINEER AF,[NEW DELHI]",,
131097,19127/11/0003/1819,19127,"DTE GENERAL OF FIRE SERVICES., [NEW DELHI]",,
15814,17101/13/0030/1819,17101,"DEPT OF FAMILY WELFARE, NEW DELHI",,
123290,19112/11/0284/1819,19112,"INDO TIBETAN BORDER POLICE,[GAGWAL]",,
CE11,19111/11/0581/1819,19111,"CENTRAL RESERVE POLICE FORCE,BANTLAB,JAMMU",,
183842,19112/11/0098/1920,19112,"INDO TIBTEN BORDER POLICE ,CHANDIGARH",,
BI96,17213/13/0005/1920,17213,BIMLESH KUMAR ADMINISTRATIVE OFFICER,,DNA1201900010024.pdf
143202,17205/11/0020/1920,17205,"CENTRAL COUNCIL FOR YOGA & NATUROPATHY., [NEW DELHI]",,DNA1202000002458.pdf
NA816,45122/11/0002/2021,45122,"NATIONAL WATER INFORMATICS CENTRE,NEW DELHI",DNA1202000005606_20200522203001.pdf,
IN454,19112/11/0048/2021,19112,"INDO TIBETAN BORDER POLICE,YUPIA,PAPUMPARE A.P",DNA1202000007364_20200721155815.pdf,
16834,05101/11/0003/2021,05101,"MINISTRY OF COMMERCE, NEW DELHI",DNA1202000009305_20200917172355.pdf,
123461,19112/11/0175/2021,19112,"INDO TIBETAN BORDER POLICE,[SURAJPUR]",DNA1202100000181_20210107163201.pdf,
NA739,43107/11/0004/2122,43107,NATIONAL EDUCATION SOCIETY GKP,DSL__davp_release_order_20210428212927.pdf,
170313,25113/11/0003/2122,25113,"MSME DEVELOPMENT INSTT., [MSME] ,MICRO SMALL & ENTERPRISES FRAGRANCE,",davp_release_order_20210722155959.pdf,
131317,19112/11/0162/2122,19112,"INDO-TIBETAN BORDER POLICE FORCE,[RAI BARELI]",DNA1202100013187_20211209190753.pdf,
HQ11,10610/11/0015/2122,10610,HQ 21 MOVEMENT CONTROL GROUP -56 APO,DNA1202200001120_20220128161742.pdf,
140013,06341/12/0005/2122,06341,DEPARTMENT OF POSTS OFFICE OF SR. SUPDT. OF POST OFFICERS CHANDI,DNA1202200003663_20220322144424.pdf,
269,12111/12/0001/2122,12111,NATIONAL CENTRE FOR POLAR AND OCEAN RESEARCH,DNA1202200003675_20220322171127.pdf,
NA1988,19138/11/0002/2223,19138,NATIONAL INTELLIGENCE GRID-NATGRID,DNA1202200008856_20220701163312.pdf,
16956,10201/12/0008/2223,10201,"ORDNANCE FACTORY BOARD, NEW DELHI",DNA1202200009820_20220721175126.pdf,
29477,09122/12/0006/2223,09122,"NATIONAL LIBRARY,[KOLKATA]",DNA1202200014547_20221021201148.pdf,
151131,10602/11/0048/2223,10602,"HEADQUARTERS CENTRAL COMMAND ,NEW DELHI",DNA1202200016054_20221125151750.pdf,
NA110,10702/11/0095/2223,10702,NAVAL DOCKYARD,DNA1202200016309_20221201154226.pdf,
92864,06155/12/0007/2324,06155,"MINISTRY OF COMMUNICATION & INFORMATION TECHNOLOGY,[JAMMU]",DNA1202300009946_20230708193107.pdf,
IN1153,19112/11/0162/2324,19112,INDIAN TIBBAT BORDER POLICE,DNA1202400005842_20240314200846.pdf,
CE177,21317/12/0002/2425,21317,CENTRAL UNIVERSITY OF ODISHA,DNA1202400014496_20240913170847.pdf,
18733,22532/12/0001/2425,22532,DOORDARSHAN NEW DELHI,DNA1202500002745_20250215181223.pdf,
15723,06140/12/0002/2526,06140,"CDAC-CENTRE FOR DEV OF ADVANCE COMPG, NEW DELHI",DNA1202500006750_20250425184304.pdf,
82860,48148/12/0003/2526,48148,"NARORA ATOMIC POWER STATION,NUCLEAR,[NEW DELHI]",DNA1202500013598_20250811150136.pdf,
BR705,22113/12/0005/2526,22113,BROADCASTING ENGINEER CONSULTANT INDIA LTD NOIDA,"DNA1202500023213A_20251229180050.png,DNA1202500023213_20251229180100.pdf",
65987,10202/11/0032/1819,10202,"ORDNANCE SERVICES,[DELHI CANTT]",,
82912,41102/13/0052/1819,41102,"MINISTRY OF TEXTILE,GOI,[JAMMU]",,
16164,19128/11/0001/1920,19128,"NATIONAL FOUNDATION FOR COMMUNAL HARMONI, NEW DELHI",,
120089,10403/11/0002/1920,10403,"CEREMONIAL & WELFARE DTE ADJ. GEN. BR, IHQ OF MODY[ARMY],[NEW DELHI]",,DNA1201900011920.pdf
123893,19112/11/0034/2021,19112,"INDO TIBETAN BORDER POLICE,[GARHI]",DNA1202000006728_20200629182750.pdf,
25236,19109/11/0004/2021,19109,"RGI[VS DIVN.] & DIRECTORS OF CENSUS OPERATION,[NEW DELHI]",DNA1202000010501_20201016174209.pdf,
143182,19110/11/0065/2021,19110,"BORDER SECURITY FORCE, RAJASTHAN FRONTIER., [JODHPUR]",JMUdavp65_release_order_20210224184104.pdf,
HI335,10603/11/0002/2122,10603,HIGH ALTITUDE WALFARE SCHOOL 900448 C/O 56APO,DNA1202100008407_20210827161139.pdf,
111766,19112/11/0144/2122,19112,"INDO TIBETAN BORDER POLICE,[JABALPUR]",DNA1202100012462_20211126163517.pdf,
IN788,19112/11/0172/2122,19112,INDO TIBETAN BORDER POLICE 26TH BN,DNA1202100013951_20211224153857.pdf,
DI999,44102/11/0003/2122,44102,DIR.OF ESTATES MINISTRY HOUSING AND URBAN AFFAIRS,DNA1202200000376_20220108155101.pdf,
128145,45104/11/0002/2122,45104,"CENTRAL GROUND WATER AUTHORITY, [NEW DELHI]",DNA1202200003467_20220316185650.pdf,
24649,09114/12/0003/2223,09114,"SANGEET NATAK ACADEMY ,LUCKNOW",DNA1202200008362_20220620201327.pdf,
115418,05207/12/0003/2223,05207,"NATIONAL COUNCIL FOR CEMENT & BUILDING MATERIALS,[BALLABHGARH]",DNA1202200009760_20220720175940.pdf,
OF76,41117/15/0001/2223,41117,"OFFICE OF THE JUTE COMMISSIONER,KOLKATA",DNA1202200011010_20220814182003.pdf,
MO1026,10622/11/0067/2223,10622,813 COMB ENGG TRG CAMP PIN-913813 56APO,DNA1202200012425_20220916153640.pdf,
NO103,19101/11/0010/2223,19101,NORTH EASTERN POLICE ACADEMY DELHI,DNA1202200016388_20221202181428.pdf,
NA1772,06107/12/0007/2223,06107,NATIONAL INFORMATICS CENTRE SERVICES INFORPORATED,DNA1202300003662_20230314182056.pdf,
NA1935,38113/12/0015/2324,38113,NATIONAL INSTITUTE FOR LOCOMOTOR DISABILITIED KOLK,DNA1202300008270_20230609171508.pdf,
IN1143,19112/11/0054/2324,19112,"INDO TIBETAN BORDER POLICE 15TH BN,JMMU",DNA1202300010879_20230726162502.pdf,
NA562,38122/12/0003/2324,38122,NATIONAL INST OF MENTAL HEALTH REHABILITATION,DNA1202300010446_20230719150426.pdf,
OF94,06334/12/0002/2324,06334,OFFICE OF THE SENIOR MANAGER MAIL MOTOR SERVICE,DNA1202300010547_20230720191819.pdf,
NA1603,06148/12/0003/2324,06148,NATIONAL INSTITUTE OF ELECTRONICS AND INFORMATION,DNA1202400001058_20240116145447.pdf,
EN117,15304/11/0004/2425,15304,"ENFORCEMENT DIRECTORATE,FOREIGN EXCHANGE ACT.",DNA1202400007363_20240418181336.pdf,
16888,37107/15/0054/2324,37107,"NATIONAL HIGHWAYS AUTHORITY OF [I] ,NEW DELHI",DNA1202400004842_20240304214438.pdf,
16911,09103/12/0011/2425,09103,"NATIONAL MUSEUM INSTITUTE, NEW DELHI",DNA1202400019289_20241206154705.pdf,
AS1507,15304/11/0015/2425,15304,"ASSISTANT LEGAL ADVISER,NEW DELHI",DNA1202500002182_20250206182540.pdf,
16664,21201/11/0009/2526,21201,"DIRECTORATE OF HIGHER EDUCATION, NEW DELHI",DNA1202500009179_20250606151241.pdf,
NO254,17217/12/0001/2526,17217,NORTH EAST INSTITUTE OF AYURVEDA & HOMOEOPATHY,DNA1202500007537_20250509190308.pdf,
GO658,15319/12/0001/2526,15319,GOODS & SERVICE TAX NETWORK DELHI,DNA1202500007314_20250506182000.pdf,
32273,06266/12/0001/2526,06266,"BHARAT SANCHAR NIGAM LIMITED ,[HALDWANI]",DNA1202500013391_20250807191641.pdf,
SH3246,45128/12/0003/2526,45128,SHYAMA PRASAD MUKHARGEE PORT KOLKATA,"DNA1202500012523_20250725152135.pdf,DNA1202500012523-A_20250725152141.pdf",
155276,06256/11/0001/2526,06256,"CONTROLLER OF COMMUNICATION ACCOUNTS, [SHIMLA] ,SHIMLA",DNA1202500019559_20251031182733.pdf,
TA726,48149/12/0007/2526,48149,"TATA MEMORIAL CENTRE,MUMBAI",DNA1202500022419_20251216174434.pdf,
131608,15111/11/0001/1819,15111,"DEPTT. OF EXPENDITURE., [NEW DELHI]",,
92299,06345/13/0001/1819,06345,"CHIEF POSTMASTER GEN.HP CIRCLE,[SHIMLA]",,
33134,10110/13/0004/1819,10110,"DG NCC MINISTRY OF DEFENCE,[NEW DELHI]",,
18796,10201/13/0060/1819,10201,ORDNANCE FACTORY BOARD KOLKATA,,
15489,37201/13/0009/1819,37201,"SHIPPING CORP OF INDIA, MUMBAI",,
39644,10201/11/0062/1819,10201,"ORDNANCE CABEL FACTORY,[CHANDIGARH]",,
120801,06146/11/0027/1920,06146,"NATIONAL INSTITUTE OF ELECTRONICS AND INFORMATION TECHNOLOGY ,LUCKNOW",,DNA1201900013734.pdf
145960,35202/11/0003/1920,35202,"NATIONAL RURAL LIVELIHOODS PROMOTION SOCIETY,",,DNA1201900019725.pdf
68878,10201/11/0071/1920,10201,"DEPT OF DEFENCE PRODUCTION & SUPPLIES,[ISHAPORE-NAWABGANJ]",,DNA1202000000194.pdf
AR321,10150/11/0001/1920,10150,"ARMED FORCES MEDICAL DEPOT,",,DNA1202000001241.pdf
DT4,10401/11/0002/2021,10401,D/O ESM WELFARE,DNA1202000008203_20200818191227.pdf,
DT5,19132/11/0001/2021,19132,"DTE.OF NATIONAL DISASTER RESPONSE FORCE,GHAZIABAD",DNA1202000009168_20200914152327.pdf,
18601,10202/11/0010/2021,10202,"IHQ OF MOD [ARMY], NEW DELHI",DEL_10_davp_release_order_20210226152323.pdf,
MI3,33115/11/0001/2122,33115,"MINISTRY OF PETROLIUM, NEW DELHI",DNA1202100007670_20210810172304.pdf,
BO108,19110/11/0102/2122,19110,BORDER SECURITY FORCE BN HQ 157 BN,DNA1202200004084_20220329184720.pdf,
93233,10202/11/0009/2223,10202,ORDNANCE SERVICES 29 EQUIPMENT DEPOT,DNA1202200014548_20221021201611.pdf,
106362,10301/11/0193/2223,10301,"DEPT OF DEFENCE RESEARCH & DEVELOPMENT/DRDO,[HYDERABAD]",DNA1202300003080_20230302153554.pdf,
IS154,49112/12/0001/2324,49112,ISRO-HYDERABAD,DNA1202300018637_20231205145348.pdf,
IN1196,19112/11/0122/2324,19112,"INDO TIBETAN BORDER POLICE 52ND BN,PUNJAB",DNA1202300019185_20231212211345.pdf,
OR158,10201/11/0001/2526,10201,"ORDANACE FACTORY,HOSHANGABAD",DNA1202500006883_20250428185111.pdf,
DE2490,49121/12/0009/2526,49121,"DEPARTMENT OF SPACE, AHMEDABAD",DNA1202500010217_20251219154903.pdf,
